reason,sex,age,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,FI,11.3 b,12.1 ,11.0 ,11.5 ,9.9 ,10.5 b,13.0 ,13.7 b,10.5 b,9.3 ,8.8 ,8.0 ,5.9 ,10.0 ,6.9 ,8.0 ,7.5 ,7.3 ,10.0 ,7.9 ,7.7 ,13.0 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,FR,15.7 ,18.0 ,13.4 ,14.1 b,19.3 ,13.2 b,21.9 b,19.0 ,17.6 ,19.7 ,17.5 ,15.5 ,16.7 ,17.8 b,14.9 b,17.3 ,15.5 ,17.0 ,16.3 ,16.5 ,13.0 ,14.1 bd
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,HR,: ,: ,27.6 ,25.5 b,34.5 ,26.2 b,32.9 b,32.8 ,31.4 ,28.2 ,28.6 ,32.0 ,36.7 ,31.7 ,27.0 ,27.2 ,36.0 ,34.9 ,35.0 ,45.5 ,40.0 ,15.2 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,HU,19.2 ,18.5 b,17.0 ,13.8 ,16.2 ,18.0 b,19.8 ,20.3 ,20.3 ,18.6 ,18.2 ,18.5 ,17.3 ,17.7 ,20.9 ,23.5 ,25.9 ,26.5 ,27.0 ,26.3 ,27.3 ,23.1 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,IE,40.1 ,38.6 ,34.2 ,35.1 ,29.3 ,25.2 b,32.3 ,35.0 b,31.7 ,23.0 ,22.1 ,22.0 ,24.2 b,24.9 ,26.4 ,29.4 ,28.7 ,35.5 b,38.1 ,37.8 ,26.6 ,27.2 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,IS,: u,27.2 ,: u,: bu,: u,: bu,: u,: u,: u,: u,: u,: u,: u,8.2 ,7.8 ,10.1 ,7.5 ,: u,: u,10.1 ,11.3 b,9.1 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,IT,43.4 ,43.5 ,42.1 ,40.8 ,27.3 b,24.4 b,27.0 ,24.3 ,24.1 ,21.6 ,20.6 ,19.7 ,20.3 ,19.1 ,16.9 ,17.0 ,16.9 ,18.3 ,20.3 ,21.4 ,17.4 ,21.0 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,LT,: ,26.5 ,22.2 bu,23.2 u,13.5 u,23.6 bu,30.0 u,27.1 u,32.3 u,23.1 ,24.8 ,25.1 ,22.4 ,33.7 ,30.7 ,25.3 ,20.7 ,21.5 ,23.9 ,32.4 ,32.1 ,36.3 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,LU,57.6 ,46.9 ,47.6 ,55.5 b,: u,58.2 bu,54.4 u,: bu,32.2 ,39.1 b,38.0 ,38.2 ,35.2 ,30.8 ,28.3 ,23.0 b,22.0 ,25.1 ,24.1 ,23.9 ,18.3 ,29.7 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,LV,: ,: u,25.1 b,26.1 ,33.1 ,30.8 b,31.4 ,34.7 ,38.3 ,27.0 ,25.5 ,30.2 ,30.3 ,30.3 ,33.7 ,35.4 ,35.1 ,38.4 ,30.4 ,34.8 ,38.2 ,37.4 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,22.4 ,27.5 ,42.7 ,39.2 ,43.7 ,38.4 ,36.9 ,38.5 ,36.3 ,29.4 ,: 
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,MK,: ,: ,: ,: ,: ,: ,21.6 ,30.1 ,30.9 ,28.1 ,21.8 ,24.5 ,22.5 ,27.7 ,39.0 ,31.2 ,27.5 ,34.7 ,32.1 ,31.4 ,24.4 ,: 
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,MT,64.3 ,77.0 ,65.8 ,59.5 ,75.7 b,69.2 b,62.6 ,62.7 ,58.6 ,55.8 ,55.1 ,57.6 ,51.6 ,45.9 ,44.2 ,46.1 ,46.4 ,48.9 ,43.7 ,43.3 ,43.0 ,62.9 bu
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,NL,: ,: ,: ,: ,: ,: ,10.0 b,10.4 ,9.3 ,7.7 ,7.2 ,6.7 ,6.5 ,5.8 b,7.4 ,7.7 ,7.1 ,7.9 ,6.7 ,8.7 ,6.6 ,9.9 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,NO,10.5 ,9.7 ,10.3 ,8.3 ,10.3 ,9.6 b,12.2 b,10.4 ,10.6 ,8.4 ,10.1 ,9.8 ,8.2 ,7.2 ,8.9 ,5.8 ,6.1 u,7.0 u,6.6 u,9.1 u,7.5 u,7.9 bu
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,PL,: ,29.1 b,28.0 ,26.8 b,24.5 b,28.1 b,32.5 ,35.6 ,37.1 ,38.5 ,38.0 b,39.0 ,38.4 ,38.5 ,40.4 ,42.4 ,45.3 ,49.0 ,52.3 ,54.1 ,53.9 ,44.2 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,PT,10.2 ,: u,: u,8.9 ,: u,7.3 b,18.9 ,21.5 ,17.0 ,15.4 ,12.7 ,17.5 b,16.8 ,13.8 ,14.7 ,14.9 ,14.7 ,16.3 ,17.3 ,18.0 ,17.3 ,20.5 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,RO,: ,: ,21.9 b,19.6 b,24.9 ,5.3 b,22.2 ,21.4 ,19.7 ,17.1 ,12.7 b,7.9 ,7.4 ,8.4 ,6.6 ,14.1 ,10.2 ,11.8 ,14.5 ,9.1 ,14.5 ,23.4 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,24.8 ,26.5 ,25.3 ,27.7 ,28.7 b,29.1 ,30.0 ,34.1 ,36.3 ,35.9 ,25.2 ,32.5 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,SE,: ,: ,: ,: ,: ,2.7 bu,2.8 u,3.4 u,3.9 u,4.5 ,4.9 ,4.3 ,4.7 ,4.7 ,4.9 ,5.1 ,5.1 ,6.1 ,4.3 b,5.6 u,4.5 u,13.2 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,SI,14.8 u,16.5 u,15.0 u,19.4 u,9.5 u,19.7 b,18.8 ,15.6 ,20.2 ,18.6 ,19.7 ,23.3 ,19.2 ,18.7 ,15.8 ,15.4 ,24.9 ,24.2 ,26.4 ,27.4 ,22.9 ,20.3 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,SK,92.8 ,20.6 ,22.3 ,24.0 b,24.9 ,25.9 b,30.2 ,28.0 ,31.7 ,32.9 ,28.5 ,28.8 b,29.1 ,33.4 ,36.6 ,33.1 ,35.6 ,38.3 ,41.1 ,37.3 ,34.0 ,19.3 b
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,TR,: ,: ,: ,: ,: ,: ,30.1 ,33.5 ,35.7 ,35.3 ,36.7 ,39.0 ,38.0 ,41.6 ,48.4 b,47.2 ,47.0 ,46.5 ,49.3 ,46.3 ,38.2 ,: 
FAM_CARE_PER_OTH,T,Y20-64,PC_INAC_WWRK,UK,32.9 ,34.3 ,33.4 ,32.3 ,32.1 b,34.5 b,: ,: ,32.4 b,32.8 ,30.6 ,28.9 ,32.1 ,32.0 ,30.6 ,31.3 ,32.1 ,29.5 ,30.6 ,29.1 ,: ,: 
